iden,beta1,gamma1,delta1,alfa1,altra1,estr1,beta2,gamma2,delta2,alfa2,edat,memb,estd,eciv,prof1,prof2,ingr
152,0,0,0,0,1,0,0,0,0,1,21,4,14,0,0,0,110
153,0,0,0,0,0,1,0,0,0,1,30,5,14,0,0,1,125
154,0,0,0,0,1,0,0,0,1,0,22,5,18,0,1,0,125
155,0,0,1,0,0,0,1,0,0,0,22,1,14,0,0,1,85
156,0,0,0,0,1,0,0,0,0,1,27,2,16,1,1,0,220
157,0,0,0,0,1,0,0,0,0,0,35,5,14,1,1,0,220
158,1,0,0,0,0,0,0,0,1,0,28,4,18,0,0,0,85
159,0,0,0,0,1,0,0,0,1,0,54,3,12,1,1,0,220
160,0,1,0,0,0,0,1,0,0,0,20,1,14,0,0,1,60
161,0,0,1,0,0,0,0,0,1,0,20,1,12,0,0,1,60
162,0,0,0,1,0,0,0,0,0,1,26,1,14,0,1,0,220
163,0,0,0,0,1,0,1,0,0,0,40,7,12,1,0,1,150
164,0,0,0,1,0,0,1,0,0,0,26,3,12,1,0,1,85
165,0,0,0,1,0,0,0,0,0,1,18,4,10,0,0,0,25
166,0,0,0,0,0,0,0,0,1,0,25,1,12,0,1,0,85
167,0,0,1,0,0,0,1,0,0,0,54,5,18,1,1,0,220
168,0,0,0,1,0,0,0,0,0,1,20,1,14,0,0,0,220
169,0,0,0,1,0,0,0,0,0,1,19,4,14,0,0,0,110
170,0,0,1,0,0,0,0,0,1,0,60,2,14,1,0,0,220
171,0,0,0,0,1,0,0,0,0,0,45,6,18,1,1,0,125
172,0,0,0,0,1,0,0,0,0,0,63,2,16,1,1,0,220
173,0,0,0,0,0,1,0,0,1,0,20,6,16,0,0,0,220
174,1,0,0,0,0,0,0,0,1,0,63,1,18,0,1,0,150
175,0,0,0,1,0,0,0,0,0,1,64,2,16,1,0,0,110
176,0,0,0,1,0,0,0,0,1,0,20,6,14,0,0,0,220
177,0,0,0,1,0,0,0,0,0,1,18,2,10,0,0,1,60
178,0,0,0,0,0,0,0,1,0,0,58,2,10,1,0,0,110
179,0,0,0,0,1,0,0,0,0,1,18,4,10,0,0,0,125
180,0,0,1,0,0,0,0,0,1,0,22,9,14,0,0,0,150
181,0,0,0,0,0,0,0,0,0,0,24,2,14,0,0,1,85
182,0,0,0,0,1,0,0,0,1,0,38,1,12,0,0,1,125
183,0,1,0,0,0,0,0,0,1,0,21,2,14,1,1,0,170
184,1,0,0,0,0,0,0,0,1,0,24,1,12,0,0,1,110
185,0,0,0,0,1,0,0,0,0,1,52,2,16,1,1,0,220
186,0,0,0,0,1,0,0,0,1,0,20,6,12,0,0,1,220
187,0,0,0,1,0,0,0,0,0,1,50,3,10,1,0,1,110
188,0,0,0,1,0,0,0,0,0,1,21,5,12,0,0,1,220
189,0,0,0,0,1,0,0,0,1,0,19,3,10,0,0,1,110
190,0,0,0,0,0,0,0,0,0,1,19,3,10,0,0,1,170
191,0,0,1,0,0,0,0,0,1,0,21,4,12,1,0,1,170
192,0,0,0,0,0,0,1,0,0,0,20,4,14,0,1,0,25
193,0,0,0,0,0,0,0,0,0,1,20,1,14,0,1,0,60
194,1,0,0,0,0,0,0,0,1,0,29,3,14,1,0,1,125
195,0,0,1,0,0,0,0,0,1,0,23,2,14,1,0,1,85
196,0,0,0,0,1,0,1,0,0,0,20,5,12,0,1,0,220
197,0,0,0,0,1,0,0,0,1,0,24,1,14,0,0,1,25
198,0,0,0,0,0,1,0,0,1,0,23,6,14,0,0,1,170
199,0,0,1,0,0,0,0,0,0,1,25,2,14,1,0,0,110
200,0,0,0,0,1,0,0,0,0,1,21,1,14,0,0,1,85
201,0,0,1,0,0,0,0,0,1,0,20,8,14,0,0,1,220
202,0,0,0,1,0,0,0,0,0,1,27,4,18,0,1,0,220
203,0,0,1,0,0,0,1,0,0,0,21,6,10,0,0,1,85
204,1,0,0,0,0,0,1,0,0,0,19,6,10,0,0,1,220
205,1,0,0,0,0,0,1,0,0,0,31,3,14,1,1,0,220
206,0,0,0,0,1,0,0,0,0,1,46,4,12,1,0,1,125
207,0,0,0,0,1,0,1,0,0,0,39,9,12,1,0,1,125
208,0,0,0,1,0,0,0,0,0,1,40,6,10,1,0,1,85
209,0,0,0,0,1,0,0,0,0,1,63,4,18,1,1,0,220
210,0,0,0,0,1,0,0,0,0,1,58,2,16,1,1,0,220
211,0,0,0,0,1,0,0,0,1,0,49,4,14,1,1,0,220
212,0,0,0,0,0,0,0,0,1,0,36,4,14,1,0,1,170
213,1,0,0,0,0,0,1,0,0,0,31,3,14,1,0,1,190
214,1,0,0,0,0,0,1,0,0,0,52,6,14,1,0,1,110
215,0,0,1,0,0,0,0,0,1,0,58,1,6,0,0,1,110
216,0,0,0,1,0,0,0,0,0,1,48,3,16,1,0,1,190
217,0,1,0,0,0,0,0,1,0,0,33,4,12,1,0,1,220
218,0,0,0,0,1,0,0,0,0,1,30,3,10,1,0,1,125
219,0,0,0,1,0,0,0,0,0,0,30,2,18,1,0,0,25
220,0,0,1,0,0,0,0,0,1,0,34,1,14,0,1,0,110
221,0,0,0,1,0,0,0,0,0,1,41,4,16,1,1,0,110
222,0,0,0,0,1,0,0,0,0,1,38,4,16,1,1,0,110
223,0,0,0,1,0,0,0,0,0,1,30,1,16,0,1,0,85
224,0,0,1,0,0,0,0,0,1,0,31,4,14,1,1,0,220
225,1,0,0,0,0,0,1,0,0,0,64,2,14,1,0,0,110
226,0,1,0,0,0,0,1,0,0,0,56,2,8,1,0,0,150
227,0,0,0,1,0,0,0,0,1,0,33,1,12,0,1,0,85
228,0,0,0,0,1,0,0,0,1,0,60,2,14,1,1,0,60
229,0,0,0,0,1,0,0,0,1,0,64,2,14,1,1,0,25
230,0,0,0,0,1,0,0,0,0,1,39,4,10,1,0,1,220
231,0,0,0,1,0,0,0,0,0,1,31,4,12,1,0,1,110
232,0,0,0,0,1,0,0,0,0,1,34,4,12,1,1,0,85
233,0,0,0,1,0,0,0,0,0,1,53,2,14,1,1,0,220
234,0,0,1,0,0,0,0,0,1,0,30,3,14,1,0,1,125
235,0,0,0,0,0,0,0,0,0,1,44,2,10,1,0,1,110
236,0,0,0,1,0,0,0,0,0,1,44,3,12,1,0,1,170
237,0,0,0,0,1,0,0,0,0,0,54,2,12,1,1,0,85
238,0,0,0,0,1,0,0,0,0,1,35,3,6,1,0,1,85
239,0,0,0,1,0,0,0,0,0,1,54,2,10,1,0,1,110
240,1,0,0,0,0,0,1,0,0,0,44,2,16,1,1,0,150
241,0,0,0,1,0,0,0,0,1,0,34,3,18,1,1,0,220
242,0,0,1,0,0,0,0,0,1,0,45,3,14,1,0,1,125
243,0,0,0,1,0,0,0,0,0,1,35,4,12,1,0,1,85
244,0,0,0,0,1,0,0,1,0,0,46,5,16,1,1,0,150
245,0,0,0,0,1,0,0,0,0,1,41,6,6,1,0,1,150
246,0,0,0,1,0,0,1,0,0,0,32,3,12,0,0,1,150
247,0,0,1,0,0,0,0,0,1,0,53,7,12,1,0,1,220
248,0,0,1,0,0,0,0,0,1,0,54,4,10,1,0,1,220
249,0,0,0,1,0,0,0,0,0,1,48,5,14,1,1,0,220
250,0,0,0,0,1,0,0,0,1,0,62,2,16,1,1,0,150
251,0,0,0,0,1,0,0,1,0,0,47,5,12,1,1,0,170
252,0,0,0,0,1,0,0,1,0,0,30,3,12,1,0,1,190
